faculdade,estado,link
UERJ,RJ,https://twitter.com/OrbitsBrasil/status/1565484244117458947/photo/1
UNB,DF,https://twitter.com/OrbitsBrasil/status/1565484244117458947/photo/2
UFBA,BA,https://twitter.com/OrbitsBrasil/status/1565484293165662209/photo/1
UFF,RJ,https://twitter.com/OrbitsBrasil/status/1565484293165662209/photo/2
IFCE,CE,https://twitter.com/OrbitsBrasil/status/1565484293165662209/photo/3
USP,SP,https://twitter.com/OrbitsBrasil/status/1565484293165662209/photo/4
UFV,MG,https://twitter.com/OrbitsBrasil/status/1565484351420354561/photo/1
UFR,MT,https://twitter.com/OrbitsBrasil/status/1565484351420354561/photo/2
UFC,CE,https://twitter.com/OrbitsBrasil/status/1565484351420354561/photo/3
IFRS,RS,https://twitter.com/OrbitsBrasil/status/1565484351420354561/photo/4
USP,SP,https://twitter.com/OrbitsBrasil/status/1565484412422201350/photo/1
UEPB,PB,https://twitter.com/OrbitsBrasil/status/1565484412422201350/photo/2
UFCA,CE,https://twitter.com/OrbitsBrasil/status/1565484412422201350/photo/3
UFRPE,PE,https://twitter.com/OrbitsBrasil/status/1565484412422201350/photo/4
UFPI,PI,https://twitter.com/OrbitsBrasil/status/1565484450334445568/photo/1
UNESPAR,PR,https://twitter.com/OrbitsBrasil/status/1565484450334445568/photo/2
UFPA,PA,https://twitter.com/OrbitsBrasil/status/1565484450334445568/photo/3
UFPA,PA,https://twitter.com/OrbitsBrasil/status/1565484450334445568/photo/4
FECAF,SP,https://twitter.com/OrbitsBrasil/status/1565485179434635264/photo/1
UFPel,RS,https://twitter.com/OrbitsBrasil/status/1565485179434635264/photo/2
UNIFESP,SP,https://twitter.com/OrbitsBrasil/status/1565485179434635264/photo/3
UFOP,MG,https://twitter.com/OrbitsBrasil/status/1565485179434635264/photo/4
UNB,DF,https://twitter.com/OrbitsBrasil/status/1565486590822162432/photo/1
Unisinos,RS,https://twitter.com/OrbitsBrasil/status/1565486590822162432/photo/2
UESC,BA,https://twitter.com/OrbitsBrasil/status/1565486590822162432/photo/3
UniFTC,BA,https://twitter.com/OrbitsBrasil/status/1565486590822162432/photo/4
